 ,bis,Komplett,Beendet,gelesen bis,Typ,Zugang,Verlag,Kommentar,VÖ +1,VÖ +2,VÖ +3,VÖ +4,VÖ +5
A Returner's Magic Should Be Special,7,Nein,Nein,7,Manhwa,08.2022,Altraverse,,TBA,KR 7,,,
A Wild Last Boss Appeared! – Der schwarzgeflügelte Overlord,5,Nein,Nein,3,Manga,05.2025,Manga Jam Session,,02.10.2026,05.02.0207,,,
Accel World – Light Novel,5,Nein,Nein,0,Light Novel,03.2025,Tokoypop,,Band 25 11.06.2025,,,,
Albus verändert die Welt,2,Nein,Nein,0,Manga,07.2026,Altraverse,,12.10.2026,,,,
Angels of Death,12,Ja,Ja,0,Manga,11.2025,Tokoypop,,Beendet,,,,
Angels of Death Episode.0,4,Nein,Ja,0,Manga,10.2025,Tokoypop,Band 7 abschluss,14.10.2026,13.01.2027,,,
Arifureta,16,Nein,Nein,13,Manga,07.2022,Altraverse,,TBA,JP16,,,
Arifureta: Der Kampf zurück in meine Welt – Zero,3,Nein,Ja,0,Manga,12.2025,Altraverse,Band 8 Abschluss,14.09.2026,,,,
"Ascendance of a Bookworm: Kein Weg ist zu weit, um Bibliothekarin zu werden",2,Nein,Nein,0,Light Novel,12.2023,JNC Nina,,Fortlaufend,,,,
Assassin's Creed: Die Geschichte von Iga,1,Nein,Ja,0,Manga,07.2026,Panini Manga,3 Bände,TBA,,,,
Attack on Titan,34,Ja,Ja,0,Manga,08.2022,Carlsen Manga,Sammelschuber,Beendet,,,,
Ayashimon,3,Ja,Ja,3,Manga,05.2023,Crunchyroll,,Beendet,,,,
Bad Girl Exorcist Reina,6,Ja,Ja,3,Manga,12.2023,Egmont Manga,,Beendet,,,,
Battle Angel Alita - Other Stories - Perfect Edition,1,Ja,Ja,0,Manga,08.2022,Carlsen Manga,Sammelschuber,Beendet,,,,
Battle Angel Alita - Perfect Edition,4,Ja,Ja,4,Manga,01.1900,Carlsen Manga,Sammelschuber,Beendet,,,,
Blade & Bastard,6,Nein,Nein,3,Manga,11.2024,Altraverse,,12.10.2026,JP 8,,,
